rbfg, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 3055.002436
sig, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.073451
sig, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 2491.167390
gmdhg1, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.110857
gmdhg1, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 9146.466098
gmdhg, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.094294
gmdhg, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 7848.216181
reg, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.064370
reg, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1369.142702
lstm_seq, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.058897
lstm_seq, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 707.043433
cnnc, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.046612
cnnc, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 570.074909
kgate, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.045943
kgate, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 609.369579
relu, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.046273
relu, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 592.636145
ann, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.048761
ann, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 656.622448



lstm_seq, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.040882
lstm_seq, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1091.433861
sig, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.045565
sig, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1504.333944
reg, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.043942
reg, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1465.706596
lstm, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.048553
